,GDP per capita (current US$),"Mortality rate, under-5 (per 1,000 live births)",Proportion of seats held by women in national parliaments (%)
5,1.89752593759488,73.6,27.7
65,7.19924547787972,92.9,36.8
125,11.2592258938162,10.0,20.0
185,20.0083206437718,12.0,36.6
245,8.405073654716421,15.1,10.7
305,,,
365,17.8089018991483,28.3,15.6
425,0.812030043569286,70.8,30.5
485,2.11448031526921,102.1,8.4
545,1.67202343716292,91.0,18.9
605,3.24088562338726,38.4,19.8
665,17.5343032559292,8.7,20.0
725,11.4331605263408,6.3,21.4
785,18.94988243997,4.3,26.6
845,8.179456440261601,16.1,3.1
905,6.593232982182379,32.4,53.1
1005,16.3583907656928,16.2,9.9
1025,8.10830097925897,34.7,8.5
1085,17.0921222420118,42.3,9.5
1145,0.710812164523031,133.6,
1205,13.446402394168999,11.6,23.4
1265,3.2110997449321097,93.3,9.4
1325,3.3117340051051896,89.8,31.1
1385,0.8293626455530588,100.7,10.6
1445,6.0176719468236906,56.4,7.4
1505,13.6181243607146,16.2,19.9
1565,2.66889523057549,77.1,3.0
1625,6.3629604012072996,22.2,20.8
1685,15.0673111823336,9.2,33.3
1745,,5.5,48.9
1805,,67.4,12.7
1865,11.0546314507234,29.8,12.9
1925,13.6231182071266,32.1,20.8
2005,14.326283007893998,25.3,31.6
2045,11.4841716060503,15.6,41.6
2105,10.601166690038198,24.6,
2165,,48.1,22.0
2225,1.4941120519643802,66.8,27.8
2285,8.882388364614151,24.3,14.0
2345,3.21517441769737,35.0,0.0
2405,17.5482712911969,53.5,15.0
2465,9.69950634054425,10.9,12.0
2525,4.00618647531648,57.4,10.9
2585,1.9406349426703,109.0,21.9
2645,2.32865087626561,67.0,9.4
2705,1.50658951397109,94.8,13.7
2765,33.542765082043594,97.5,24.0
2825,12.4240676821701,14.9,33.3
2885,7.552717983109159,30.1,13.3
2945,7.3024069815492005,34.1,31.3
3005,4.3980966342799706,20.2,25.8
3065,1.75020293330448,72.6,4.2
3125,10.5701950446793,29.1,16.9
3185,5.68273128543749,46.3,11.4
3245,18.1017762970666,16.6,3.1
3305,15.950196293071398,30.5,25.3
3365,8.47374342693856,16.4,12.7
3425,9.123978708743891,18.2,12.0
3485,24.924370209064502,13.1,25.2
3545,2.8671019100132797,48.2,19.1
3605,3.3569834476600704,23.5,23.3
3665,3.3006167501657897,33.7,20.3
3725,1.91762741344392,59.0,8.7
3785,5.689828550132679,56.1,25.0
3845,13.0490329582958,8.6,3.1
3905,1.32891311080663,81.9,11.0
4005,16.870485132330902,13.9,16.0
4025,12.416873447792701,18.1,16.7
4085,11.2503092438959,9.4,5.8
4145,2.9720129462137397,93.0,26.7
4205,7.507240831112041,26.7,17.0
4265,6.035022646956589,16.4,17.8
4325,1.6937950990893,59.6,20.5
4385,13.6228857170523,10.6,5.9
4445,18.045984463203702,15.4,37.4
4505,3.4430283415397303,36.8,3.0
4565,13.368146735371699,12.0,33.3
4625,1.974217655054,113.2,9.5
4685,5.00599965346285,53.6,5.6
4745,15.371106899645,3.9,17.3
4805,11.925813399274599,19.5,14.9
4865,1.2917468096644,86.1,
4925,3.9933170154702604,86.2,25.2
5005,19.2906919260322,14.4,18.8
5045,1.20729440992259,63.0,16.7
5105,25.875502674464197,8.0,10.4
5165,10.5986686708128,45.3,
5225,0.9511605866522659,98.5,13.3
5285,6.0099894534981,126.9,6.7
5345,4.950081248116761,19.0,42.4
5405,2.5206895525852695,38.1,29.5
5465,13.2734836493531,36.0,5.3
5525,4.593964240127789,78.2,20.7
5585,12.5612454498288,16.8,22.3
5645,6.9307644631533,30.5,27.3
5705,3.7630778785842605,53.0,2.7
5765,,22.4,16.3
5825,11.4869443725394,22.9,15.0
5885,4.6972867969813,22.1,
5945,20.6233243694339,10.0,13.5
6005,25.7515141372688,9.0,13.6
6065,1.7621055849827898,44.1,63.8
6125,4.39780934324047,68.2,24.3
6185,3.0670340491796195,52.9,43.3
6245,2.21626505321992,22.7,2.0
6305,1.8038630229638501,128.9,12.1
6365,7.23611736171435,16.0,27.4
6425,,137.9,13.8
6485,14.659540584377,6.6,34.0
6545,1.92062762594982,98.6,26.5
6605,2.9973224552029807,36.7,18.2
6665,16.018086880389298,21.6,11.8
6725,9.565531582375101,67.2,6.2
6785,,17.6,12.0
6845,2.17924774129838,134.1,14.9
6905,1.5043220797646801,79.3,17.6
7005,15.6943366821335,11.0,6.1
7025,2.72650719409668,38.7,16.9
7085,15.144545446460901,52.4,26.4
7145,6.83330050182503,52.8,38.5
7205,5.56703541123729,17.1,0.0
7265,11.4603482642504,17.3,31.3
7325,23.9671180282777,13.4,14.4
7385,3.31910485988151,27.7,6.7
7445,2.68038559388121,61.4,36.0
7505,1.8201296663218,58.5,35.0
7565,8.71074938267596,9.8,11.7
7625,6.866481774020649,27.8,22.0
7685,10.9480492493923,18.5,13.0
7745,18.102468292325,17.3,17.0
7805,5.613627303616011,22.1,24.3
7865,2.99794308877206,29.1,0.0
7925,5.57062051892676,17.6,6.1
8005,9.1947418194884,,
8045,4.04550003143459,55.0,0.3
8105,13.0904768283107,39.5,41.5
8165,3.8935494781212294,66.9,10.8
8225,2.6485689674448105,57.5,31.5
